,순위,영화명,개봉일,좌석판매율,좌석점유율,좌석수,매출액,누적매출액,관객수,누적관객수,년도,장르,등급
589,17,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,0.203,0.014,15024039,24975495122,24975495122,3049894,3049894,2017,액션,12
590,17,프리즌,2017-03-23,0.191,0.014,15285474,23790276987,23790276987,2931897,2931897,2017,범죄,19
591,20,너의 이름은.,2017-01-04,0.256,0.013,14161129,29251793156,29566980156,3637608,3674371,2017,애니메이션,12
592,20,저스티스 리그,2017-11-15,0.132,0.013,13452246,14629692795,14629692795,1786386,1786386,2017,액션,12
593,22,남한산성,2017-10-03,0.311,0.012,12337041,31225083792,31225083792,3849087,3849087,2017,사극,15
594,22,로건,2017-03-01,0.174,0.012,12442422,18391060223,18391060223,2169109,2169109,2017,액션,19
595,24,덩케르크,2017-07-20,0.232,0.011,11996138,24550541348,24550541348,2788732,2788732,2017,액션,12
596,24,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,0.237,0.011,11500236,23452686686,23452686686,2735721,2735721,2017,액션,12
597,24,재심,2017-02-15,0.199,0.011,12149443,19266319637,19266319637,2421197,2421197,2017,드라마,15
598,24,박열,2017-06-28,0.194,0.011,12103218,18093639795,18093639795,2359206,2359206,2017,드라마,12
599,28,강철비,2017-12-14,0.37,0.01,11157647,32939126166,32939126166,4128591,4128591,2017,액션,15
600,28,보안관,2017-05-03,0.246,0.01,10492634,20844488409,20844488409,2588628,2588628,2017,범죄,15
601,28,조작된 도시,2017-02-09,0.224,0.01,11181274,20143992587,20143992587,2515501,2515501,2017,범죄,15
602,28,콩: 스컬 아일랜드,2017-03-08,0.162,0.01,10411182,13990563383,13990563383,1689717,1689717,2017,액션,12
603,32,마스터,2016-12-21,0.216,0.009,10222431,18283595800,58068236865,2215266,7150586,2017,액션,15
604,32,마스터,2016-12-21,0.216,0.009,10222431,18283595800,58068236865,2215266,7150586,2017,드라마,19
605,32,원더 우먼,2017-05-31,0.216,0.009,10022186,17468588886,17468588886,2165401,2165401,2017,액션,12
606,34,슈퍼배드 3,2017-07-26,0.403,0.008,8244721,24217091019,24217091019,3324874,3324874,2017,애니메이션,전체
607,34,모아나,2017-01-12,0.279,0.008,8255526,18056417307,18056417307,2310206,2310206,2017,애니메이션,전체
608,34,겟 아웃,2017-05-17,0.232,0.008,9178016,17431830075,17431830075,2138174,2138174,2017,공포(호러),15
609,34,노무현입니다,2017-05-25,0.222,0.008,8353285,14556517612,14556517612,1855149,1855149,2017,다큐멘터리,12
610,34,임금님의 사건수첩,2017-04-26,0.193,0.008,8452881,12651193723,12651193723,1635003,1635003,2017,코미디,12
611,34,부라더,2017-11-02,0.166,0.008,8965759,11783109998,11783109998,1492903,1492903,2017,코미디,12
612,34,기억의 밤,2017-11-29,0.161,0.008,8602531,10646904660,10646904660,1386661,1386661,2017,미스터리,15
613,34,특별시민,2017-04-26,0.164,0.008,8286931,10494768945,10494768945,1362634,1362634,2017,드라마,15
614,42,보스 베이비,2017-05-03,0.334,0.007,7325224,18936306704,18936306704,2452245,2452245,2017,애니메이션,전체
615,42,혹성탈출: 종의 전쟁,2017-08-15,0.259,0.007,7890159,16854482778,16854482778,2051315,2051315,2017,액션,12
616,42,킬러의 보디가드,2017-08-30,0.23,0.007,7467573,14020395800,14020395800,1721757,1721757,2017,액션,15
617,42,23 아이덴티티,2017-02-22,0.224,0.007,7469781,13609648135,13609648135,1675819,1675819,2017,스릴러,15
618,42,해피 데스데이,2017-11-08,0.17,0.007,8094403,11004455402,11004455402,1382650,1382650,2017,공포(호러),15
619,42,브이아이피,2017-08-23,0.174,0.007,7878017,10956621835,10956621835,1373316,1373316,2017,범죄,19
620,42,에이리언: 커버넌트,2017-05-09,0.17,0.007,7688112,10745826264,10745826264,1307226,1307226,2017,SF,15
621,42,해빙,2017-03-01,0.152,0.007,7904421,9905406822,9905406822,1204600,1204600,2017,스릴러,15
622,42,베이비 드라이버,2017-09-14,0.111,0.007,7370269,6699906214,6699906214,822769,822769,2017,액션,15
623,51,악녀,2017-06-08,0.182,0.006,6628491,9739662144,9739662144,1208081,1208081,2017,액션,19
624,51,하루,2017-06-15,0.158,0.006,7147153,9072737842,9072737842,1129609,1129609,2017,스릴러,15
625,51,불한당: 나쁜 놈들의 세상,2017-05-17,0.143,0.006,6536463,7587004625,7587004625,939535,939535,2017,범죄,19
626,51,공각기동대 : 고스트 인 더 쉘,2017-03-29,0.118,0.006,6429968,6285970884,6285970884,764072,764072,2017,SF,15
627,55,1987,2017-12-27,0.453,0.005,5453599,19714466137,19714466137,2473546,2473546,2017,드라마,15
628,55,지오스톰,2017-10-19,0.167,0.005,6128265,8480864614,8480864614,1028384,1028384,2017,액션,12
629,55,스타워즈: 라스트 제다이,2017-12-14,0.179,0.005,5289132,8570976561,8570976561,949845,949845,2017,액션,12
630,55,그것,2017-09-06,0.148,0.005,5984448,7335022607,7335022607,888836,888836,2017,공포(호러),15
631,55,오리엔트 특급 살인,2017-11-29,0.15,0.005,5739991,6636905163,6636905163,863657,863657,2017,드라마,12
632,60,애나벨 : 인형의 주인,2017-08-10,0.4,0.004,4829336,15527492238,15527492238,1934270,1934270,2017,공포(호러),15
633,60,장산범,2017-08-17,0.268,0.004,4867224,10341783083,10341783083,1306438,1306438,2017,미스터리,15
634,60,라라랜드,2016-12-07,0.232,0.004,5106836,9824317162,29820456394,1185531,3570639,2017,드라마,12
635,60,대립군,2017-05-31,0.181,0.004,4610324,6276963402,6276963402,837500,837500,2017,드라마,15
636,60,아빠는 딸,2017-04-12,0.141,0.004,4580290,5054757395,5054757395,647305,647305,2017,코미디,12
637,60,발레리안: 천 개 행성의 도시,2017-08-30,0.123,0.004,4134181,4047756408,4047756408,511931,511931,2017,액션,12
638,60,그레이트 월,2017-02-15,0.122,0.004,4107532,4355441358,4355441358,501486,501486,2017,판타지,12
639,60,라이프,2017-04-05,0.094,0.004,4857242,3791748210,3791748210,459984,459984,2017,SF,15
640,60,라이프,2017-04-05,0.094,0.004,4857242,3791748210,3791748210,459984,459984,2017,드라마,15
641,60,아메리칸 메이드,2017-09-14,0.088,0.004,4542665,3175539145,3175539145,401541,401541,2017,범죄,15
642,69,레지던트 이블: 파멸의 날,2017-01-25,0.232,0.003,3291437,6422202365,6422202365,765259,765259,2017,액션,19
643,69,패신저스,2017-01-04,0.19,0.003,3507393,5467466918,5470674918,668576,668977,2017,어드벤처,12
644,69,컨택트,2017-02-02,0.181,0.003,3496625,5214551521,5214551521,634150,634150,2017,SF,12
645,69,메리와 마녀의 꽃,2017-12-07,0.158,0.003,3385690,4064850239,4064850239,535404,535404,2017,애니메이션,전체
646,69,침묵,2017-11-02,0.149,0.003,3311895,3930219264,3930219264,494097,494097,2017,드라마,15
647,69,트리플 엑스 리턴즈,2017-02-08,0.141,0.003,3357361,3967335095,3967335095,475309,475309,2017,액션,15
648,69,리얼,2017-06-28,0.117,0.003,4005375,3357312530,3357312530,470105,470105,2017,액션,19
649,69,반드시 잡는다,2017-11-29,0.129,0.003,3449347,3326439772,3326439772,446780,446780,2017,스릴러,15
650,69,킹 아서: 제왕의 검,2017-05-17,0.127,0.003,3267358,3373678655,3373678655,415714,415714,2017,판타지,12
651,69,대장 김창수,2017-10-19,0.116,0.003,3275855,2879121115,2879121115,381483,381483,2017,드라마,12
652,69,7호실,2017-11-15,0.109,0.003,3183494,2677284639,2677284639,347790,347790,2017,코미디,15
653,69,희생부활자,2017-10-12,0.089,0.003,3613964,2515479835,2515479835,323628,323628,2017,미스터리,15
654,81,위대한 쇼맨,2017-12-20,0.293,0.002,2978870,7166974900,7166974900,874655,874655,2017,드라마,12
655,81,뽀로로 극장판 공룡섬 대모험,2017-12-07,0.314,0.002,2505236,5958096200,5958096200,787493,787493,2017,애니메이션,전체
656,81,트롤,2017-02-16,0.261,0.002,2580659,5011161500,5011161500,675966,675966,2017,애니메이션,전체
657,81,씽,2016-12-21,0.273,0.002,2438615,5062317800,13266175589,667598,1730773,2017,애니메이션,전체
658,81,47 미터,2017-07-19,0.208,0.002,2830568,4686079657,4686079657,590045,590045,2017,스릴러,15
659,81,얼라이드,2017-01-11,0.179,0.002,2884867,4278041179,4290805179,518886,520448,2017,스릴러,15
660,81,히든 피겨스,2017-03-23,0.164,0.002,2733546,3580767033,3580767033,449518,449518,2017,드라마,12
661,81,원라인,2017-03-29,0.148,0.002,2922647,3319035433,3319035433,435048,435048,2017,범죄,15
662,81,로그 원: 스타워즈 스토리,2016-12-28,0.141,0.002,2983086,3920458500,9047995594,422822,1019309,2017,액션,12
663,81,보통사람,2017-03-23,0.137,0.002,2784389,2956397623,2956397623,383336,383336,2017,드라마,15
664,81,어쌔신 크리드,2017-01-11,0.142,0.002,2502778,2899784921,2899784921,355913,355913,2017,액션,15
665,81,석조저택 살인사건,2017-05-09,0.151,0.002,2334517,2829106886,2829106886,353517,353517,2017,스릴러,15
666,81,싱글라이더,2017-02-22,0.132,0.002,2654928,2685519021,2685519021,351276,351276,2017,드라마,15
667,81,사랑하기 때문에,2017-01-04,0.153,0.002,2111548,2538805440,2673489440,324526,340936,2017,코미디,12
668,81,블레이드 러너 2049,2017-10-12,0.111,0.002,2888101,2764093365,2764093365,321424,321424,2017,SF,15
669,81,미옥,2017-11-09,0.081,0.002,2933378,1897705564,1897705564,238587,238587,2017,범죄,19
670,81,어느날,2017-04-05,0.092,0.002,2533641,1846581582,1846581582,234829,234829,2017,멜로/로맨스,15
671,81,어쌔신: 더 비기닝,2017-12-07,0.097,0.002,2117180,1593853000,1593853000,205369,205369,2017,액션,15
672,99,카3: 새로운 도전,2017-07-13,0.239,0.001,2033796,3599544501,3599544501,487916,487916,2017,애니메이션,전체
673,99,명탐정 코난:진홍의 연가,2017-08-02,0.356,0.001,1261027,3268917200,3268917200,450043,450043,2017,애니메이션,12
674,99,극장판 포켓몬스터 너로 정했다!,2017-12-21,0.424,0.001,1059656,3380416200,3380416200,449358,449358,2017,애니메이션,전체
675,99,스머프: 비밀의 숲,2017-04-28,0.311,0.001,1372566,3122661000,3122661000,427764,427764,2017,애니메이션,전체
676,99,넛잡 2,2017-10-03,0.317,0.001,1296056,3069388100,3069388100,411787,411787,2017,애니메이션,전체
677,99,플립,2017-07-12,0.196,0.001,1813208,2828867900,2828867900,355617,355617,2017,드라마,12
678,99,옥자,2017-06-29,0.258,0.001,1245887,2437680900,2437680900,322157,322157,2017,어드벤처,12
679,99,존 윅 - 리로드,2017-02-22,0.155,0.001,1775068,2205582600,2205582600,276379,276379,2017,액션,19
680,99,목소리의 형태,2017-05-09,0.185,0.001,1491553,2171032214,2171032214,276131,276131,2017,애니메이션,전체
681,99,판도라,2016-12-07,0.213,0.001,1268232,2111772900,36067171064,270936,4584800,2017,드라마,12
682,99,50가지 그림자: 심연,2017-02-09,0.159,0.001,1189519,1589180900,1589180900,189620,189620,2017,드라마,19
683,99,핵소 고지,2017-02-22,0.126,0.001,1405704,1342169900,1342169900,177616,177616,2017,드라마,15
684,99,채비,2017-11-09,0.143,0.001,1236569,1260467864,1260467864,177428,177428,2017,드라마,12
685,99,더 큐어,2017-02-15,0.146,0.001,1090671,1331883200,1331883200,159948,159948,2017,미스터리,19
686,99,이프 온리,2004-10-29,0.132,0.001,1208245,1276887400,6797933400,159630,1019064,2017,,
687,99,아토믹 블론드,2017-08-30,0.081,0.001,1896828,1177725658,1177725658,155368,155368,2017,액션,19
688,99,비정규직 특수요원,2017-03-16,0.102,0.001,1455985,1150732700,1150732700,149719,149719,2017,코미디,15
689,99,로마의 휴일,2017-08-30,0.095,0.001,1412068,993321176,993321176,134827,134827,2017,코미디,15
690,99,시간위의 집,2017-04-05,0.087,0.001,1470337,1020724600,1020724600,128975,128975,2017,미스터리,15
691,99,루시드 드림,2017-02-22,0.084,0.001,1204037,759481000,759481000,102170,102170,2017,SF,15
692,99,다크타워: 희망의 탑,2017-08-23,0.081,0.001,1188837,761759275,761759275,97017,97017,2017,액션,15
693,99,파워레인져스: 더 비기닝,2017-04-20,0.061,0.001,1198339,577103561,577103561,73875,73875,2017,액션,12
694,121,몬스터 패밀리,2017-12-21,0.414,0.0,887623,2736976000,2736976000,368135,368135,2017,애니메이션,전체
695,121,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,0.351,0.0,948775,2418607200,2418607200,333184,333184,2017,애니메이션,전체
696,121,빅풋 주니어,2017-08-09,0.32,0.0,1001281,2260352900,2260352900,320545,320545,2017,애니메이션,전체
697,121,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,0.27,0.0,795475,1581375300,1581375300,215203,215203,2017,애니메이션,전체
698,121,발레리나,2017-02-09,0.264,0.0,768415,1519845400,1519845400,202916,202916,2017,애니메이션,전체
699,121,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,2017-08-10,0.315,0.0,528668,1181952900,1181952900,167052,167052,2017,애니메이션,전체
700,121,레고 닌자고 무비,2017-09-28,0.259,0.0,597982,1149394400,1149394400,154966,154966,2017,애니메이션,전체
701,121,레고 배트맨 무비,2017-02-09,0.187,0.0,793602,1175424305,1175424305,148760,148760,2017,애니메이션,전체
702,121,극장판 또봇: 로봇군단의 습격,2017-04-27,0.273,0.0,518283,1090835800,1090835800,141865,141865,2017,애니메이션,전체
703,121,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,2017-09-07,0.245,0.0,559052,1055895200,1055895200,137052,137052,2017,애니메이션,전체
704,121,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,0.222,0.0,577866,999362100,999362100,128472,128472,2017,애니메이션,12
705,121,루돌프와 많이있어,2016-12-28,0.273,0.0,463134,944763200,1627646800,126483,215993,2017,애니메이션,전체
706,121,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,0.24,0.0,501453,925453500,925453500,120667,120667,2017,애니메이션,12
707,121,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,0.219,0.0,542579,905611600,905611600,119197,119197,2017,애니메이션,전체
708,121,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,0.201,0.0,590437,981891500,981891500,119135,119135,2017,애니메이션,15
709,121,직쏘,2017-11-02,0.132,0.0,844630,972332500,972332500,111506,111506,2017,공포(호러),19
710,121,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,0.308,0.0,354787,827511500,827511500,109358,109358,2017,애니메이션,전체
711,121,딥워터 호라이즌,2017-01-25,0.109,0.0,925088,784555543,784555543,101303,101303,2017,액션,12
712,121,슈퍼 빼꼼: 스파이 대작전,2017-05-03,0.258,0.0,384962,712385900,712385900,99693,99693,2017,애니메이션,전체
713,121,다크 나이트,2008-08-06,0.151,0.0,589934,742802900,27789718400,89164,4175526,2017,범죄,15
714,121,패트리어트 데이,2017-04-06,0.08,0.0,925885,593983618,593983618,74827,74827,2017,드라마,15
715,121,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017-11-09,0.143,0.0,458370,501257700,501257700,65895,65895,2017,액션,전체
716,121,더 크리스마스,2017-12-21,0.31,0.0,205189,474590200,474590200,63652,63652,2017,애니메이션,전체
717,121,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,0.245,0.0,258846,481444900,2148082300,63518,282565,2017,애니메이션,전체
718,121,극장판 쿠로코의 농구 라스트 게임,2017-04-27,0.16,0.0,394381,471006000,471006000,63311,63311,2017,애니메이션,12
719,121,뷰티풀 투모로우,2017-10-26,0.279,0.0,226430,552273700,552273700,63279,63279,2017,드라마,12
720,121,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,0.191,0.0,326700,441475500,441475500,62454,62454,2017,애니메이션,전체
721,121,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,2017-12-14,0.223,0.0,250732,432762200,432762200,56027,56027,2017,애니메이션,전체
722,121,위시 어폰,2017-07-20,0.131,0.0,421819,437183000,437183000,55586,55586,2017,공포(호러),15
723,121,언더더씨,2017-06-22,0.202,0.0,246452,382413600,382413600,49958,49958,2017,애니메이션,전체
724,121,마더!,2017-10-19,0.061,0.0,759104,368306382,368306382,46677,46677,2017,드라마,19
725,121,"그래, 가족",2017-02-15,0.067,0.0,687921,350293300,350293300,46623,46623,2017,코미디,12
726,121,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,0.174,0.0,260021,317454000,317454000,45484,45484,2017,애니메이션,전체
727,121,"당신, 거기 있어줄래요",2016-12-14,0.159,0.0,275667,362623400,9361708648,43925,1168740,2017,판타지,12
728,121,하이큐!! 재능과 센스,2017-11-15,0.109,0.0,392761,309367500,309367500,43056,43056,2017,애니메이션,12
729,121,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,0.236,0.0,179211,327731800,327731800,42390,42390,2017,애니메이션,전체
730,121,레이디버그,2017-02-22,0.137,0.0,297816,310291500,310291500,41041,41041,2017,애니메이션,전체
731,121,이모티: 더 무비,2017-08-02,0.161,0.0,250690,290079700,290079700,40372,40372,2017,애니메이션,전체
732,121,흑집사 -북 오브 더 아틀란틱-,2017-04-13,0.158,0.0,240798,287368000,287368000,38224,38224,2017,애니메이션,15
733,121,반지의 제왕 : 반지원정대 (확장판),2017-01-11,0.183,0.0,194349,470027900,470027900,35758,35758,2017,판타지,12
734,121,가디언즈 오브 갤럭시,2014-07-31,0.112,0.0,294858,292578500,11390817684,33129,1344319,2017,액션,12
735,121,하이큐!! 승자와 패자,2016-12-28,0.099,0.0,323441,235520000,381314000,32293,53107,2017,애니메이션,12
736,121,극장판 위 베어 베어스: 곰 브라더스,2017-08-24,0.109,0.0,292151,230410600,230410600,32021,32021,2017,애니메이션,전체
737,121,반지의 제왕 : 왕의 귀환 (확장판),2017-01-25,0.215,0.0,140619,370268000,370268000,30349,30349,2017,판타지,12
738,121,역모-반란의 시대,2017-11-23,0.059,0.0,503589,218173300,218173300,30116,30116,2017,사극,15
739,121,너브,2017-01-11,0.093,0.0,314661,239275800,239275800,29441,29441,2017,어드벤처,15
740,121,걸 온 더 트레인,2017-03-09,0.053,0.0,546732,222516500,222516500,29190,29190,2017,드라마,19
741,121,데스노트: 더 뉴 월드,2017-03-29,0.066,0.0,434998,220886363,220886363,28723,28723,2017,범죄,15
742,121,극장판 암살교실 : 365일의 시간,2017-03-23,0.152,0.0,186404,210398500,210398500,28364,28364,2017,애니메이션,12
743,121,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,0.261,0.0,105023,350183800,350183800,27440,27440,2017,판타지,12
744,121,아기돼지 3형제와 매직램프,2017-03-23,0.146,0.0,182671,208444600,208444600,26670,26670,2017,애니메이션,전체
745,121,사다코 대 카야코,2017-01-04,0.069,0.0,368912,201673000,202716000,25531,25680,2017,공포(호러),15
746,121,클로저,2005-02-03,0.083,0.0,289126,179775032,1629844032,24159,244701,2017,,
747,121,하이큐!! 끝과 시작,2016-11-16,0.146,0.0,164493,182633000,727479000,24099,99803,2017,애니메이션,12
748,121,패션 오브 크라이스트,2004-04-02,0.065,0.0,366338,180074000,5518901500,24012,865018,2017,,
749,121,언프렌드,2017-02-09,0.105,0.0,224267,187802900,187802900,23688,23688,2017,스릴러,15
750,121,파워배틀 와치카: 와치가면의 역습,2017-06-01,0.125,0.0,187997,166656500,166656500,23630,23630,2017,애니메이션,전체
751,121,빌리 진 킹: 세기의 대결,2017-11-16,0.088,0.0,227019,158970000,158970000,20028,20028,2017,코미디,15
752,121,극장판 어드벤처 타임: 비밀의 아일랜드,2017-04-13,0.151,0.0,132286,163679600,163679600,19986,19986,2017,애니메이션,전체
753,121,슬립리스: 크리미널 나이트,2017-03-08,0.047,0.0,392636,146025800,146025800,18740,18740,2017,액션,15
754,121,은혼,2017-12-07,0.068,0.0,269146,148853500,148853500,18323,18323,2017,액션,12
755,121,인카네이트,2017-05-25,0.068,0.0,264347,142090200,142090200,18028,18028,2017,스릴러,15
756,121,8 마일,2003-02-21,0.109,0.0,161095,149273500,159487500,17667,19296,2017,,
757,121,링스,2017-04-06,0.07,0.0,231643,136520300,136520300,16336,16336,2017,공포(호러),15
758,121,스파이 게임,2017-09-14,0.044,0.0,358504,122840172,122840172,15986,15986,2017,액션,15
759,121,호비와 무지개 오아시스 대모험,2017-09-07,0.103,0.0,150816,108724000,108724000,15629,15629,2017,애니메이션,전체
760,121,토마스와 친구들: 그레이트 레이스,2017-11-30,0.078,0.0,169029,98705400,98705400,13314,13314,2017,애니메이션,전체
761,121,키즈모노가타리 III : 냉혈편,2017-05-18,0.085,0.0,132901,88623000,88623000,11302,11302,2017,애니메이션,15
762,121,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,0.326,0.0,34322,71179500,525099600,11203,70350,2017,애니메이션,전체
763,121,악마는 프라다를 입는다,2006-10-25,0.094,0.0,118329,90971800,8377549400,11193,1378126,2017,,
764,121,월터의 상상은 현실이 된다,2013-12-31,0.125,0.0,88240,91237800,6968500599,11034,952660,2017,어드벤처,12
765,121,파워캐치 완다: 버그본의 지구 습격,2017-03-09,0.114,0.0,95350,86394400,86394400,10881,10881,2017,애니메이션,전체
766,121,이웃집 스타,2017-09-21,0.038,0.0,285368,78213300,78213300,10854,10854,2017,코미디,12
767,121,극장판 빰바라빤쮸: 바나나 왕국의 비밀,2017-02-22,0.084,0.0,125917,76934800,76934800,10681,10681,2017,애니메이션,전체
768,121,극장판 마이 리틀 포니 : 이퀘스트리아 걸스,2017-05-03,0.103,0.0,94043,74804500,74804500,9701,9701,2017,애니메이션,전체
769,121,그 여자 작사 그 남자 작곡,2007-02-28,0.095,0.0,96146,73775500,6833188000,9145,1073095,2017,,
770,121,노트르담 드 파리,2017-11-01,0.084,0.0,107439,115659500,115659500,9085,9085,2017,뮤지컬,전체
771,121,델마와 루이스,1993-11-27,0.081,0.0,102826,66076600,69404600,8356,8917,2017,,
772,121,다이노소어 아일랜드,2017-07-19,0.079,0.0,96689,56946800,56946800,7728,7728,2017,어드벤처,전체
773,121,행복을 찾아서,2007-02-28,0.048,0.0,157918,52625500,3698251000,7678,599249,2017,,
774,121,인셉션,2010-07-21,0.674,0.0,11232,86481000,43481471000,7573,5835017,2017,드라마,12
775,121,신 고질라,2017-03-08,0.03,0.0,238038,54130000,56170000,7278,7533,2017,SF,12
776,121,청춘 합창단 - 또 하나의 꿈,2017-06-15,0.206,0.0,35185,50951400,50951400,7269,7269,2017,다큐멘터리,전체
777,121,내가 죽기 전에,2017-12-21,0.943,0.0,7504,18427000,18427000,7082,7082,2017,공포(호러),15
778,121,빈센트 반 고흐 : 새로운 시선,2017-08-24,0.118,0.0,59493,74223000,74223000,7029,7029,2017,다큐멘터리,전체
779,121,클래식,2003-01-30,0.046,0.0,151074,56433600,60120600,6990,7514,2017,,
780,121,좋아하게 되는 그 순간을 ~고백실행위원회~,2017-06-22,0.061,0.0,112914,52072600,52072600,6951,6951,2017,애니메이션,12
781,121,암살교실: 졸업편,2017-04-21,0.182,0.0,35494,34784500,34784500,6491,6491,2017,,
782,121,구세주: 리턴즈,2017-09-14,0.044,0.0,138677,45622000,45622000,6151,6151,2017,코미디,15
783,121,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,0.441,0.0,12065,49606500,909378000,5322,109174,2017,애니메이션,12
784,121,꿀벌 하치의 대모험,2011-01-13,0.066,0.0,73780,36610000,563272500,4935,84819,2017,애니메이션,전체
785,121,인터스텔라,2014-11-06,0.607,0.0,8112,55911500,82669061000,4931,10309432,2017,SF,12
786,121,금빛 모자이크 프리티 데이즈,2017-02-16,0.039,0.0,120387,34265500,34265500,4709,4709,2017,애니메이션,전체
787,121,신비한 동물사전,2016-11-16,0.186,0.0,24959,39018200,39339534058,4645,4667179,2017,어드벤처,12
788,121,블랙 쉐도우,2017-07-13,0.032,0.0,140402,33762500,33762500,4502,4502,2017,액션,15
789,121,왕을 참하라,2017-03-16,0.079,0.0,53501,32469800,32469800,4237,4237,2017,드라마,19
790,121,뮤지컬 쉬 러브즈 미,2017-07-06,0.061,0.0,65022,29324700,29324700,3982,3982,2017,공연,전체
791,121,번지점프를 하다,2001-02-02,0.032,0.0,118053,31427000,32344000,3852,4020,2017,,
792,121,뷰티 인사이드,2015-08-20,0.045,0.0,78338,29001900,16184831031,3593,2057896,2017,판타지,12
793,121,나부코,2017-04-01,0.201,0.0,17076,70872000,70872000,3441,3441,2017,,
794,121,정원을 그리다 : 모네에서 마티스까지,2017-10-26,0.082,0.0,41860,36375500,36375500,3441,3441,2017,다큐멘터리,전체
795,121,6 웨이 투 다이,2017-09-05,0.931,0.0,3628,16890000,16890000,3378,3378,2017,액션,15
796,121,나인스 라이프,2017-09-07,0.032,0.0,98076,23933000,23933000,3166,3166,2017,,
797,121,코코,2018-01-11,0.82,0.0,3774,37810000,37810000,3097,3097,2017,애니메이션,전체
798,121,살인자의 기억법 : 새로운 기억,2017-11-01,0.075,0.0,39002,19563000,19563000,2958,2958,2017,,
799,121,미스 사이공 : 25주년 특별 공연,2016-11-24,0.127,0.0,22276,54108200,945326500,2851,48931,2017,공연,15
800,121,걸즈 앤 판처 극장판,2016-08-25,0.552,0.0,5100,25998000,282280100,2818,31387,2017,애니메이션,12
801,121,동주,2016-02-17,0.314,0.0,8705,16701874,8905778963,2740,1175381,2017,드라마,12
802,121,다크 나이트 라이즈,2012-07-19,0.307,0.0,8736,29950500,47675463500,2688,6399303,2017,액션,15
803,121,배드 캅,2017-11-07,0.797,0.0,3236,12905000,12905000,2581,2581,2017,,
804,121,쥬만지: 새로운 세계,2018-01-03,0.963,0.0,2671,21095000,21095000,2574,2574,2017,액션,12
805,121,형,2016-11-23,0.201,0.0,12772,16420600,23130188893,2571,2982230,2017,코미디,12
806,121,오페라의 유령,2004-12-08,0.112,0.0,21996,17731400,10086456700,2477,1577188,2017,,
807,121,인어공주,1991-12-21,0.398,0.0,5623,17193500,30678500,2238,3955,2017,,
808,121,시간 여행자의 아내,2009-10-28,0.065,0.0,34116,17444000,5424508600,2232,730885,2017,멜로/로맨스,12
809,121,라이온 킹,1994-07-02,0.375,0.0,5910,17106000,3195632000,2222,300593,2017,어드벤처,전체
810,121,광인옥한흠,2017-12-28,0.173,0.0,11551,15236500,15236500,2009,2009,2017,,
811,121,돈 지오반니,2017-01-07,0.175,0.0,11360,46764000,46764000,1995,1995,2017,,
812,121,땡큐 포 유어 서비스,2017-12-07,0.025,0.0,75859,14249000,14249000,1965,1965,2017,,
813,121,내 머리 속의 지우개,2004-11-05,0.025,0.0,75719,15572700,11935992600,1942,1887850,2017,,
814,121,라푼젤,2011-02-10,0.295,0.0,6137,13959700,10191026500,1811,1014595,2017,애니메이션,전체
815,121,돌아와요 부산항애(愛),2018-01-17,0.943,0.0,1898,15000000,15000000,1791,1791,2017,범죄,15
816,121,라 트라비아타,2017-08-05,0.233,0.0,7558,40719500,40719500,1768,1768,2017,공연,전체
817,121,고야 : 살과 피의 환상,2017-11-30,0.056,0.0,30353,17911500,17911500,1728,1728,2017,,
818,121,원피스 필름 골드,2016-12-08,0.207,0.0,8254,10259000,1710761100,1711,217257,2017,애니메이션,12
819,121,페르디난드,2018-01-03,0.903,0.0,1836,12250000,12250000,1658,1658,2017,애니메이션,전체
820,121,간츠: 오,2017-05-11,0.032,0.0,50684,12687500,12687500,1625,1625,2017,,
821,121,로우,2017-08-05,0.369,0.0,4361,14016000,14016000,1610,1610,2017,,
822,121,로스트 하이웨이,1997-05-10,0.253,0.0,6335,13906122,16376122,1607,2036,2017,,
823,121,트윈 픽스,1995-03-25,0.217,0.0,7010,13163082,13163082,1523,1523,2017,,
824,121,알라딘,1993-07-03,0.295,0.0,5059,11545000,11545000,1496,1496,2017,어드벤처,전체
